Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_167,VGND,li1,82.5700,38.0800,0.000114
FILLER_9_163,VGND,li1,81.4200,38.0800,0.000114
FILLER_9_121,VGND,li1,63.0200,38.0800,0.000113
FILLER_9_117,VGND,li1,59.5700,38.0800,0.000104
FILLER_9_113,VGND,li1,58.4200,38.0800,0.000104
FILLER_9_106,VGND,li1,55.6600,38.0800,0.000099
FILLER_9_94,VGND,li1,50.1400,38.0800,0.000088
FILLER_9_72,VGND,li1,38.8700,38.0800,0.000063
FILLER_9_33,VGND,li1,21.3900,38.0800,0.000030
FILLER_9_27,VGND,li1,18.1700,38.0800,0.000031
FILLER_9_15,VGND,li1,15.1800,38.0800,0.000032
FILLER_9_3,VGND,li1,9.6600,38.0800,0.000033
FILLER_8_157,VGND,li1,77.9700,32.6400,0.000035
FILLER_8_153,VGND,li1,76.8200,32.6400,0.000035
FILLER_8_141,VGND,li1,73.1400,32.6400,0.000033
FILLER_8_137,VGND,li1,69.2300,32.6400,0.000032
FILLER_8_129,VGND,li1,66.7000,32.6400,0.000031
FILLER_8_117,VGND,li1,62.1000,32.6400,0.000030
FILLER_8_105,VGND,li1,56.5800,32.6400,0.000029
FILLER_8_97,VGND,li1,51.0600,32.6400,0.000027
FILLER_8_85,VGND,li1,47.3800,32.6400,0.000024
FILLER_8_82,VGND,li1,43.7000,32.6400,0.000023
FILLER_8_70,VGND,li1,40.4800,32.6400,0.000021
FILLER_8_62,VGND,li1,34.5000,32.6400,0.000017
FILLER_8_50,VGND,li1,31.2800,32.6400,0.000015
FILLER_8_42,VGND,li1,25.5300,32.6400,0.000012
FILLER_8_29,VGND,li1,19.3200,32.6400,0.000014
FILLER_8_15,VGND,li1,12.8800,32.6400,0.000016
FILLER_8_3,VGND,li1,9.6600,32.6400,0.000016
FILLER_7_177,VGND,li1,87.1700,32.6400,0.000036
FILLER_7_169,VGND,li1,85.1000,32.6400,0.000036
FILLER_7_167,VGND,li1,82.5700,32.6400,0.000036
FILLER_7_161,VGND,li1,80.9600,32.6400,0.000036
FILLER_7_150,VGND,li1,74.7500,32.6400,0.000034
FILLER_7_142,VGND,li1,72.6800,32.6400,0.000033
FILLER_7_133,VGND,li1,66.9300,32.6400,0.000031
FILLER_7_129,VGND,li1,65.7800,32.6400,0.000031
FILLER_7_111,VGND,li1,56.8100,32.6400,0.000029
FILLER_7_90,VGND,li1,47.1500,32.6400,0.000024
FILLER_7_65,VGND,li1,35.6500,32.6400,0.000018
FILLER_7_57,VGND,li1,33.5800,32.6400,0.000017
FILLER_7_52,VGND,li1,30.3600,32.6400,0.000015
FILLER_7_28,VGND,li1,19.3200,32.6400,0.000014
FILLER_6_150,VGND,li1,74.7500,27.2000,0.000181
FILLER_6_137,VGND,li1,69.2300,27.2000,0.000180
FILLER_6_108,VGND,li1,56.5800,27.2000,0.000159
FILLER_6_101,VGND,li1,52.6700,27.2000,0.000148
FILLER_6_93,VGND,li1,50.1400,27.2000,0.000142
FILLER_6_83,VGND,li1,43.9300,27.2000,0.000122
FILLER_6_73,VGND,li1,40.4800,27.2000,0.000116
FILLER_6_37,VGND,li1,25.3000,27.2000,0.000055
FILLER_6_25,VGND,li1,17.7100,27.2000,0.000057
FILLER_6_17,VGND,li1,15.1800,27.2000,0.000058
FILLER_6_11,VGND,li1,11.2700,27.2000,0.000058
FILLER_6_3,VGND,li1,8.7400,27.2000,0.000058
FILLER_5_177,VGND,li1,87.1700,27.2000,0.000184
FILLER_5_169,VGND,li1,85.1000,27.2000,0.000184
FILLER_5_166,VGND,li1,82.3400,27.2000,0.000184
FILLER_5_158,VGND,li1,80.0400,27.2000,0.000183
FILLER_5_148,VGND,li1,74.2900,27.2000,0.000181
FILLER_5_140,VGND,li1,71.7600,27.2000,0.000181
FILLER_5_119,VGND,li1,60.4900,27.2000,0.000169
FILLER_5_113,VGND,li1,58.8800,27.2000,0.000164
FILLER_5_111,VGND,li1,56.8100,27.2000,0.000159
FILLER_5_103,VGND,li1,54.7400,27.2000,0.000154
FILLER_5_91,VGND,li1,50.1400,27.2000,0.000142
FILLER_5_34,VGND,li1,21.6200,27.2000,0.000056
FILLER_5_11,VGND,li1,11.2700,27.2000,0.000058
FILLER_5_3,VGND,li1,8.7400,27.2000,0.000058
FILLER_4_173,VGND,li1,85.3300,21.7600,0.000025
FILLER_4_165,VGND,li1,83.2600,21.7600,0.000025
FILLER_4_153,VGND,li1,77.7400,21.7600,0.000024
FILLER_4_141,VGND,li1,73.1400,21.7600,0.000024
FILLER_4_137,VGND,li1,69.2300,21.7600,0.000023
FILLER_4_129,VGND,li1,66.7000,21.7600,0.000022
FILLER_4_121,VGND,li1,61.6400,21.7600,0.000020
FILLER_4_113,VGND,li1,59.3400,21.7600,0.000019
